nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
PTG Store Multimarcas,LM,,,https://www.instagram.com/ptgstore,SP - São Paulo,Guarulhos,Sudeste,(11) 94717-7935,Sim,,Novo/Sem Contato
Labelle Moda Íntima,LBM,,Lets Gym,https://www.instagram.com/labelle_moda.intima/,RS - Rio Grande do Sul,Passo Fundo,Sul,(54) 99647-1380,Sim,,Novo/Sem Contato
Seven More,LM,,,https://www.instagram.com/sevenxmore/,SP - São Paulo,Rio Grande da Serra,Sudeste,,Sim,,Novo/Sem Contato
Rubia Monteiro Store,LBM,,,https://www.instagram.com/rubiamstore/,PR - Paraná,Cornélio Procópio,Sul,(43) 99665-1593,Sim,,Novo/Sem Contato
Dondoca Boutique,LBM,,Lança perfume,https://www.instagram.com/dondoccca/,SC - Santa Catarina,Palhoça,Sul,(47) 99631-0285,Sim,,Novo/Sem Contato
Dose Dupla Moda Fitness,LBM,,"Live, Lets Gym",https://www.instagram.com/usedosedupla/,MG - Minas Gerais,Contagem,Centro-Oeste,(31) 97311-1505,Sim,,Novo/Sem Contato
Filha Fina,LBM,,,https://www.instagram.com/filha_finaa/,DF - Distrito Federal,Brasília,Centro-Oeste,(61) 98557-5432,Sim,,Novo/Sem Contato
E'toiss Acessórios,LBM/LM,,Totanka,https://www.instagram.com/p/CmMLT2QrYMV/,SP - São Paulo,Taquaritinga,Sudeste,(16) 99455-8767,Sim,,Novo/Sem Contato
Be Moda Masculina e Feminina,LBM/LM,,,https://www.instagram.com/bebolsasdf/,DF - Distrito Federal,Brasília,Centro-Oeste,61995171286,Sim,,Novo/Sem Contato
Divamora Boutique,LBM,,,https://www.instagram.com/boutiquedivamora/,BA - Bahia,Camaçari,Nordeste,71993597800,Sim,,Novo/Sem Contato
Natureza Serrão,LBM,,,https://www.instagram.com/naturezaserrao/,PA - Pará,Prainha,Norte,93984356275,Sim,,Novo/Sem Contato
Closet Moda Fitness,LBM,,,https://www.instagram.com/closetfitness__84/,RN - Rio Grande do Norte,Natal,Nordeste,(84) 99644-4375,Sim,,Novo/Sem Contato
Marrúh Multibrand Feminina,LBM,,,https://www.instagram.com/usemarruh/,MG - Minas Gerais,Belo Horizonte,Centro-Oeste,(31) 99240-0149,Sim,,Novo/Sem Contato
Amanda Fit Store,LBM,,,https://www.instagram.com/amandafitstore_/,GO - Goiás,Formosa,Centro-Oeste,(61) 99833-0519,Sim,,Novo/Sem Contato
Ariane Ottone Moda Fitness e Praia,LBM,,,https://www.instagram.com/arianeottone.fitnessepraia/,MG - Minas Gerais,Curvelo,Centro-Oeste,(38) 99939-3866,Sim,,Novo/Sem Contato
Cia do Esporte,LBM/LM,,,https://www.instagram.com/ciadoesportejp/,MG - Minas Gerais,João Pinheiro,Centro-Oeste,(38) 99743-8157,Sim,,Novo/Sem Contato
La Mix Moda Fitness e Casual,LBM,,"Colcci, Live",https://www.instagram.com/la_mix_fraiburgo/,SC - Santa Catarina,Fraiburgo,Sul,49 98422-5468,Sim,,Novo/Sem Contato
Camy Moda Fitness,LBM,,"Vestem, Lets Gym",https://www.instagram.com/camymodafitness/,RS - Rio Grande do Sul,Rio Grande,Sul,53 984516743,Sim,,Novo/Sem Contato
Belo Cavaleiro,LM,,,https://www.instagram.com/outletbelocavaleiro/,BA - Bahia,Jacobina,Nordeste,45999651695,Sim,,Novo/Sem Contato
Cabide Store,LM,,,https://www.instagram.com/cabidestore2.0/,SP - São Paulo,Indaiatuba,Sudeste,14991454753,Sim,,Novo/Sem Contato
7Dois Multimarcas,LM,,,https://www.instagram.com/7doismultimarcas/,PA - Pará,Ipixuna do Pará,Norte,91987035331,Sim,,Novo/Sem Contato
Lechic Store Goioere,LBM,,,https://www.instagram.com/lechicstorehouse/,PR - Paraná,Goioerê,Sul,,Sim,,Novo/Sem Contato
Evidencia,LBM,,"Lança perfume, Lez a Lez, Animale",https://www.instagram.com/evidencia_lp/,MG - Minas Gerais,Sete Lagoas,Sudeste,31993932000,Sim,,Novo/Sem Contato
Don Diego Store,LBM/LM,,"Tommy, Aero, Lez a Lez, My Place, Acostamento",https://www.instagram.com/dondiegostore/,MG - Minas Gerais,Uberlandia,Sudeste,34991595466,Sim,,Novo/Sem Contato
Jéssica Boutique,LBM/LM,,"Lança perfume, Acostamento, Schutz, Calvin Klein, Colcci, Arezzo",https://www.instagram.com/jessicaboutique2/,PI - Piauí,Fronteiras,Nordeste,89999037917,Sim,,Novo/Sem Contato
Excêntrica,LBM,,"John John, Osklen, Animale, Open, Cantão",https://www.instagram.com/lojaexcentrica/,RS - Rio Grande do Sul,Carazinho,Sul,5433311532,Sim,,Novo/Sem Contato
Join,LM,,"Nike, Titular, Cavalera, Redley",https://www.instagram.com/joinmultimarcas/,RJ - Rio de Janeiro,Duque de Caxias,Sudeste,21964699342,Sim,,Novo/Sem Contato
JBMA,LBM/LM,,"Colcci, Lança perfume, Nike, Titular, Coca Cola",https://www.instagram.com/jbmamultimarca/,RJ - Rio de Janeiro,Nova Iguacu,Sudeste,21965742931,Sim,,Novo/Sem Contato
Impact Zone,LM,,"Peppers, Titular",https://www.instagram.com/impactzonerj_/,RJ - Rio de Janeiro,Rio de Janeiro,Sudeste,21964868134,Sim,,Novo/Sem Contato
Horla,LBM/LM,,"Farm, Vans, Hurley, Redley",https://www.instagram.com/horlaoficial/,RJ - Rio de Janeiro,Nilopolis,Sudeste,21981441735,Sim,,Novo/Sem Contato
Glamurosa,LBM,,,https://www.instagram.com/glamurosa_m/,RJ - Rio de Janeiro,Nilopolis,Sudeste,2127921286,Sim,,Novo/Sem Contato
DVM multimarcas,LM,,"Coca cola, Cavalera, Titular",https://www.instagram.com/dvmmarcas/,RJ - Rio de Janeiro,Nova Iguacu,Sudeste,21964888612,Sim,,Novo/Sem Contato
Contenis,LBM/LM,,"Nike, Puma, New Balance, Vans",https://www.instagram.com/contenis_loja/,RJ - Rio de Janeiro,Nova Friburgo,Sudeste,22999114268,Sim,,Novo/Sem Contato
Alfa Store,LBM,,"Morena Rosa, Ellus, Lez a Lez, Banabana",https://www.instagram.com/alfa.ele.ela/,RS - Rio Grande do Sul,Sao Vicente do Sul,Sul,55996974204,Sim,,Novo/Sem Contato
Ponto Jovem,LBM/LM,,"Colcci, Ellus, Lado Avesso",https://www.instagram.com/loja_pontojovem/,RS - Rio Grande do Sul,Nao Me Toque,Sul,54991684717,Sim,,Novo/Sem Contato
Caveman,LBM/LM,,"Nike, Vans, Colcci, Redley, Buh",https://www.instagram.com/cavemanmultimarcas/,RJ - Rio de Janeiro,Rio de Janeiro,Sudeste,21975543555,Sim,,Novo/Sem Contato
El Guapo Menswear,LM,,"Calvin Klein, Acostamento, Levis",https://www.instagram.com/elguapomenswear/,RS - Rio Grande do Sul,Santa Cruz do Sul,Sul,51996697711,Sim,,Novo/Sem Contato
Caio Sport,LM,,"Nike, Thug nine, Adidas, Puma, Hurley",https://www.instagram.com/caiosportofc/,RJ - Rio de Janeiro,Sepetiba,Sudeste,21964708895,Sim,,Novo/Sem Contato
Guilena,LBM/LM,,"Colcci, Schutz, Lez a Lez, Forum, Arezzo, Shoulder",https://www.instagram.com/lojaguilena/,RS - Rio Grande do Sul,Guapore,Sul,54991508623,Sim,,Novo/Sem Contato
By Polly,LM,,"Oakley, Ripcurl, Kenner, Hang Loose",https://www.instagram.com/bypolly.oficial/,RJ - Rio de Janeiro,Nova Iguacu,Sudeste,21964474726,Sim,,Novo/Sem Contato
CD Modas,LBM/LM,,"Lança perfume, Flor de Lis, Ogochi, Lez a Lez, Ellus",https://www.instagram.com/_cdmodas_/,RS - Rio Grande do Sul,Sao Jose do Ouro,Sul,54996123778,Sim,,Novo/Sem Contato
Big Boss,LBM/LM,,"Calvin Klein, Ellus, Levis, Vans, Tommy, Redley",https://www.instagram.com/bigbossmarcas/,RJ - Rio de Janeiro,Nilopolis,Sudeste,21967188399,Sim,,Novo/Sem Contato
Vivas Moda,LBM/LM,,"Colcci, Acostamento, Tommy, Calvin Klein, Ellus, Dimy, Forum",https://www.instagram.com/vivascruzalta/,RS - Rio Grande do Sul,Cruz Alta,Sul,55991283218⁣,Sim,,Novo/Sem Contato
Beachway,LBM/LM,,"Hurley, Colcci, Coca Cola",https://www.instagram.com/beachwaymultimarcas/,RJ - Rio de Janeiro,Rio de Janeiro,Sudeste,21995929465,Sim,,Novo/Sem Contato
Arenna da Moda,LBM,,"Morena Rosa, Index",https://www.instagram.com/arennamodas/,RS - Rio Grande do Sul,Cruz Alta,Sul,55984693284,Sim,,Novo/Sem Contato
Bang Store Streetwear,LM,,"Nike, Stranger, Other Culture",https://www.instagram.com/bangstorestreetwear/,RJ - Rio de Janeiro,Teresopolis,Sudeste,21975187176,Sim,,Novo/Sem Contato
Cloá Store,LBM,,"Lança perfume, Farm, Myft, Levis",https://www.instagram.com/cloastore/,RS - Rio Grande do Sul,Gravatai,Sul,5134235484,Sim,,Novo/Sem Contato
Zeus Moda Homem,LM,,"Acostamento, Lacoste, Dudalina",https://www.instagram.com/zeusmodahomem_cruzalta/,RS - Rio Grande do Sul,Cruz Alta,Sul,5533036873,Sim,,Novo/Sem Contato
Loja Zandes,LM,,"Nike, Levis, Aramis, Forum, Lacoste, Calvin Klein, Reserva",https://www.instagram.com/loja_zandes/,RS - Rio Grande do Sul,Vacaria,Sul,5432314266,Sim,,Novo/Sem Contato
W Store,LBM/LM,,"Sommer, Dzarm, Hering, Converse",https://www.instagram.com/loja_wstore/,RS - Rio Grande do Sul,Carazinho,Sul,54996083829,Sim,,Novo/Sem Contato
Lojas Andriolli,LBM/LM,,"Colcci, Forum, Adidas, Nike, Index",https://www.instagram.com/andriollilojas/,RS - Rio Grande do Sul,Salto do Jacui,Sul,5533271410,Sim,,Novo/Sem Contato
Sil Fashion,LBM/LM,,"Farm, Animale, Calvin Klein, Forum, Cantão, Lacoste",https://www.instagram.com/silfashionloja/,RS - Rio Grande do Sul,Frederico Westphalen,Sul,55999957343,Sim,,Novo/Sem Contato
RR Moda Feminina,LBM,,"Dimy, Live, Gatabakana",https://www.instagram.com/rrmodafemininastore/,RS - Rio Grande do Sul,Rio Grande,Sul,53981171801,Sim,,Novo/Sem Contato
Loja Mood,LBM/LM,,"Triton, Levis, Lacoste, Individual",https://www.instagram.com/lojamood.erechim/,RS - Rio Grande do Sul,Erechim,Sul,54996083060,Sim,,Novo/Sem Contato
Kekos Modas,LBM/LM,,"Colcci, Dimy, Flor de Lis",https://www.instagram.com/kekosmodas/,RS - Rio Grande do Sul,Tapejara,Sul,54999208880,Sim,,Novo/Sem Contato
Garage Store,LM,,"Acostamento, Aero, New Era",https://www.instagram.com/garagestoree994/,RS - Rio Grande do Sul,Cruz Alta,Sul,55991239094,Sim,,Novo/Sem Contato
Tauros Moda Masculina,LM,,"Reserva, Cavalera, Damyller, King&Joe",https://www.instagram.com/taurosmodamasculina/,RS - Rio Grande do Sul,Julio de Castilhos,Sul,55981069437,Sim,,Novo/Sem Contato
Unnica Moda Mulher,LBM,,"Lez a Lez, Bana Bana, Index",https://www.instagram.com/unnicamodamulher/,RS - Rio Grande do Sul,Ijui,Sul,55984228290,Sim,,Novo/Sem Contato
Horus Multimarcas,LBM/LM,,"Colcci, Melissa, Coca Cola, Gatos&Atos",https://www.instagram.com/horusmultimarcas/,RS - Rio Grande do Sul,Morro Reuter,Sul,51994508139,Sim,,Novo/Sem Contato
Choque Concept,LBM,,"Santa Lolla, Charry, Visual Jeans, GataBakana",https://www.instagram.com/choquegravatai/,RS - Rio Grande do Sul,Gravatai,Sul,51997183691,Sim,,Novo/Sem Contato
Dylu Moda e Marca,LBM,,"Farm, Melissa, Calvin Klein, Lez a Lez, Shoulder",https://www.instagram.com/dylumodas/,RS - Rio Grande do Sul,Teutonia,Sul,51982466218,Sim,,Novo/Sem Contato
Elégance Boutique,LBM,,"Schutz, Luz da Lua",https://www.instagram.com/elegance_boutique08/,RS - Rio Grande do Sul,Parai,Sul,54999397610,Sim,,Novo/Sem Contato
Boutique Lizze,LBM/LM,,"Lez a Lez, Lupo, Hering",https://www.instagram.com/boutiquelizze/,RS - Rio Grande do Sul,Barros Cassal,Sul,54996075955,Sim,,Novo/Sem Contato
Loja Atualle,LBM,,"Schutz, AnaCapri",https://www.instagram.com/atualle_getuliovargas/,RS - Rio Grande do Sul,Getulio Vargas,Sul,54999265456,Sim,,Novo/Sem Contato
Ave Maria Store,LBM,,"Lez a Lez, Cantão, Levis, Bana Bana",https://www.instagram.com/avemariastorecachoeirinha/,RS - Rio Grande do Sul,Cachoeirinha,Sul,51992743171,Sim,,Novo/Sem Contato
Luxor Store,LBM/LM,,"Colcci, Acostamento, Calvin Klein, Levis, Forum",https://www.instagram.com/luxorstore.oficial/,RS - Rio Grande do Sul,Agudo,Sul,55999334618,Sim,,Novo/Sem Contato
Essencial Boutique,LBM,,"Lança perfume, Dress To, My Place, Oh Boy, Shoulder",https://www.instagram.com/essencialboutiquepm/,RS - Rio Grande do Sul,Palmeira das Missoes,Sul,55999855264,Sim,,Novo/Sem Contato
Florenza,LBM,,"Farm, Acostamento, Animale, Shoulder",https://www.instagram.com/floorenza_loja/,RS - Rio Grande do Sul,Tres de Maio,Sul,55991214765,Sim,,Novo/Sem Contato
Turn Store,LBM/LM,,"Booq, Approve, Cavalera, Colcci, Guess",https://www.instagram.com/turnstorers/,RS - Rio Grande do Sul,Santa Rosa,Sul,55999190898,Sim,,Novo/Sem Contato
Lilah Clothes,LBM,,"Farm, Animale, Schutz, Open, Lez a Lez",https://www.instagram.com/lilahclothes/,RS - Rio Grande do Sul,Ernestina,Sul,54999306601,Sim,,Novo/Sem Contato
Vitrini Modas,LBM/LM,,"Morena Rosa, Levis",https://www.instagram.com/vitrinimodasnonoai/,RS - Rio Grande do Sul,Nonoai,Sul,54981140140,Sim,,Novo/Sem Contato
Urban Boy Store,LM,,"Acostamento, John John, Calvin Klein, Ogochi, Adidas",https://www.instagram.com/urbanboycam/,RS - Rio Grande do Sul,Camaqua,Sul,51997815919,Sim,,Novo/Sem Contato
Marluce Conceito,LBM/LM,,"Morena Rosa, Animale, John John, Dimy, Lez a Lez",https://www.instagram.com/marluce.conceito/,RS - Rio Grande do Sul,Sapiranga,Sul,51998970098,Sim,,Novo/Sem Contato
Spantalhos's Masculina,LM,,"Reserva, Ellus, Replay",https://www.instagram.com/spantalhos_masculina/,RS - Rio Grande do Sul,Santa Cruz do Sul,Sul,51982092958,Sim,,Novo/Sem Contato
Lunanda,LBM,,"Lança perfume, Colcci, Ellus",https://www.instagram.com/lunandamultimarcas/,RS - Rio Grande do Sul,Rolante,Sul,51995706860,Sim,,Novo/Sem Contato
Eli Modas,LBM/LM,,"Lança perfume, Colcci, Calvin Klein, Ellus, Adidas",https://www.instagram.com/elimodas/,RS - Rio Grande do Sul,Tres Cachoeiras,Sul,51981042020,Sim,,Novo/Sem Contato
Sociedad,LM,,"Colcci, Acostamento, Calvin Klein, Docthos, Beagle, John John",https://www.instagram.com/lojasociedad/,RS - Rio Grande do Sul,Santa Cruz do Sul,Sul,51999923320,Sim,,Novo/Sem Contato
Mana Modas,LBM/LM,,"Lez a Lez, Naguchi, Oceano",https://www.instagram.com/loja_mana_modas/,RS - Rio Grande do Sul,Campinas do Sul,Sul,54991245107,Sim,,Novo/Sem Contato
Denise Sstore,LBM/LM,,"Colcci, John John, Sommer, Cavalera",https://www.instagram.com/denise_sstore/,RS - Rio Grande do Sul,Sao Jose do Ouro,Sul,54996469482,Sim,,Novo/Sem Contato
Loja Babilônia,LBM/LM,,"Maria Gueixa, Docthos",https://www.instagram.com/lojababiloniaosorio/,RS - Rio Grande do Sul,Osorio,Sul,51984881575,Sim,,Novo/Sem Contato
Point Wear Store,LBM/LM,,"Colcci, Ellus, Farm, Levis",https://www.instagram.com/pointwearstore/,RS - Rio Grande do Sul,Bento Goncalves,Sul,5434522253,Sim,,Novo/Sem Contato
Fape Moda Homem,LM,,"Tommy, Acostamento, Ellus",https://www.instagram.com/lojafapemodahomem/,RS - Rio Grande do Sul,Venancio Aires,Sul,51998641690,Sim,,Novo/Sem Contato
Spasso Griffes,LBM,,"Lança perfume, Myft, Animale, Farm, Open, Sommer, Melissa",https://www.instagram.com/spassogriffespanambi/,RS - Rio Grande do Sul,Panambi,Sul,55984740983,Sim,,Novo/Sem Contato
Konsumo Urbano,LBM/LM,,"Lança perfume, Colcci, Calvin Klein, Myft, John John, Animale",https://www.instagram.com/konsumo_urbano/,RS - Rio Grande do Sul,Sananduva,Sul,54991188295,Sim,,Novo/Sem Contato
Hangar 88,LM,,"Reserva, Cavalera, Dudalina, Adidas, Ogochi, Docthos",https://www.instagram.com/hangar88.santiago/,RS - Rio Grande do Sul,Santiago,Sul,55984084970,Sim,,Novo/Sem Contato
Costume,LBM/LM,,"John John, Myft",https://www.instagram.com/costume_store___/,RS - Rio Grande do Sul,Flores da Cunha,Sul,54996175086,Sim,,Novo/Sem Contato
Stillus,LBM/LM,,"Lança perfume, Myft, John John",https://www.instagram.com/stillusl/,RS - Rio Grande do Sul,Nonoai,Sul,54996116157,Sim,,Novo/Sem Contato
Rouparia Nacional,LBM/LM,,"Colcci, Ellus, Tommy, Forum, Triton, Calvin Klein, John John",https://www.instagram.com/rouparia_nacional/,RS - Rio Grande do Sul,Tupancireta,Sul,5532721290,Sim,,Novo/Sem Contato
Apholo Moda Masculina,LM,,"Acostamento, Calvin Klein, Levis, Docthos",https://www.instagram.com/apholo.modamasculina/,RS - Rio Grande do Sul,Marau,Sul,54996283907,Sim,,Novo/Sem Contato
Ilha do Mel,LBM/LM,,"Lança perfume, Ellus, Dimy, Triton",https://www.instagram.com/lojailhadomel/,RS - Rio Grande do Sul,Carazinho,Sul,54999231890,Sim,,Novo/Sem Contato
Helenita,LBM,,"Lança perfume, Myft, Santa Lolla, Lez a Lez, Charry",https://www.instagram.com/helenita_store/,RS - Rio Grande do Sul,Jaguari,Sul,55999268635,Sim,,Novo/Sem Contato
Casual Moda Jovem,LBM/LM,,"Colcci, Farm, Animale, John John",https://www.instagram.com/casualmodajovem/,RS - Rio Grande do Sul,Palmeira das Missoes,Sul,55999591089,Sim,,Novo/Sem Contato
Santo Luxo,LBM,,"Farm, Animale, Open, Shoulder",https://www.instagram.com/lojasantoluxo/,RS - Rio Grande do Sul,Guaiba,Sul,51992260814,Sim,,Novo/Sem Contato
Fashion Multimarcas,LBM,,"Lança perfume, Schutz",https://www.instagram.com/loja.fashionmultimarcas/,RS - Rio Grande do Sul,Dois Irmaos,Sul,51989145186,Sim,,Novo/Sem Contato
Duster Duo,LBM/LM,,"Lança perfume, Forum, Santa Lolla, Farm, Shoulder, Dudalina",https://www.instagram.com/dusterduo/,RS - Rio Grande do Sul,Sao Luiz Gonzaga,Sul,55999871777,Sim,,Novo/Sem Contato
Diomira Modas,LBM,,"Lança perfume, Colcci, Forum, Cantão",https://www.instagram.com/diomiramodas_/,RS - Rio Grande do Sul,Lagoa Vermelha,Sul,54999004131,Sim,,Novo/Sem Contato
Nara Núbia,LBM,,"Lança perfume, Myft, Colcci, Animale",https://www.instagram.com/lojanaranubia/,RS - Rio Grande do Sul,Capao da Canoa,Sul,51999021182,Sim,,Novo/Sem Contato
Tatian Store,LBM/LM,,"Lança perfume, Colcci, Morena Rosa, Tommy, Ellus",https://www.instagram.com/tatian_stor/,RS - Rio Grande do Sul,Cachoeirinha,Sul,51984350440,Sim,,Novo/Sem Contato
Loja Farol,LBM/LM,,"Lança perfume, John John, Farm, Myft",https://www.instagram.com/lojafarol/,RS - Rio Grande do Sul,Casca,Sul,54999951028,Sim,,Novo/Sem Contato
Loja Atraente,LBM/LM,,"Lança perfume, Schutz, Calvin Klein",https://www.instagram.com/atraente_sm/,RS - Rio Grande do Sul,Saldanha Marinho,Sul,55984494669,Sim,,Novo/Sem Contato
Fascinação Modas,LBM,,"Lança perfume, Santa Lolla, Parô",https://www.instagram.com/fascinacaomodas.lp/,RS - Rio Grande do Sul,Marau,Sul,54997119804,Sim,,Novo/Sem Contato
Manalu Modas,LBM/LM,,"Lança perfume, Colcci, Zinco",https://www.instagram.com/manalumodas/,RS - Rio Grande do Sul,Campo Bom,Sul,51997975298,Sim,,Novo/Sem Contato
Vitório Clothing,LBM/LM,,"Morena Rosa, John John, Myft, Calvin Klein, Melissa, Beagle",https://www.instagram.com/vitorioclothing_/,RS - Rio Grande do Sul,Tres Cachoeiras,Sul,51997909335,Sim,,Novo/Sem Contato
Ksulo Boutique,LBM/LM,,"Lança perfume, Colcci, Index",https://www.instagram.com/k.suloboutique/,RS - Rio Grande do Sul,Boa Vista das Missoes,Sul,55996466962,Sim,,Novo/Sem Contato
Vogany,LBM,,"Lança perfume, Acostamento, GataBakana, Naguchi",https://www.instagram.com/vogany_/,SC - Santa Catarina,Criciuma,Sul,48996476368,Sim,,Novo/Sem Contato
Maria Bonita única,LBM,,"Colcci, Schutz, Arezzo, Sommer, AnaCapri, Triton",https://www.instagram.com/mariabonitaunica/,RS - Rio Grande do Sul,Tapejara,Sul,54999326003,Sim,,Novo/Sem Contato
Free Style,LBM/LM,,"Lança perfume, Colcci, Farm, Dzarm",https://www.instagram.com/anacleafreestyle/,RS - Rio Grande do Sul,Barros Cassal,Sul,54996695114,Sim,,Novo/Sem Contato
Kichik Boutique Concept,LBM,,Myft,https://www.instagram.com/kichikboutique/,SC - Santa Catarina,Palhoca,Sul,48998331483,Sim,,Novo/Sem Contato
Closet Modas,LBM,,"Lança perfume, Myft, BanaBana",https://www.instagram.com/closetmodas_serafina/,RS - Rio Grande do Sul,Serafina Correa,Sul,54996237444,Sim,,Novo/Sem Contato
Athena,LBM,,"Animale, Dress To, Shoulder",https://www.instagram.com/athena_multimarcas/,RS - Rio Grande do Sul,Garibaldi,Sul,54996680553,Sim,,Novo/Sem Contato
Valda Maria Store,LBM,,Lança perfume,https://www.instagram.com/valdamaria_store/,SC - Santa Catarina,Itajai,Sul,47984209133,Sim,,Novo/Sem Contato
Loja Ônix,LBM/LM,,"Lança perfume, Acostamento, Fors",https://www.instagram.com/loja_onix/,RS - Rio Grande do Sul,Frederico Westphalen,Sul,55984552884,Sim,,Novo/Sem Contato
Culture Luxure,LBM,,"Lança perfume, Myft, Lez a Lez",https://www.instagram.com/lojaculturedeluxe/,SC - Santa Catarina,Sao Jose,Sul,48996012317,Sim,,Novo/Sem Contato
Luana Modas,LBM/LM,,"Lança perfume, Lado Avesso, Sommer",https://www.instagram.com/luanamodascp/,SC - Santa Catarina,Cunha Pora,Sul,49991656929,Sim,,Novo/Sem Contato
Nara Best,LBM,,"Lança perfume, Myft, Tigrara",https://www.instagram.com/bestnarafashion/,RS - Rio Grande do Sul,Cerro Largo,Sul,55984490638,Sim,,Novo/Sem Contato
Aloha Boutique,LBM,,"Farm, Calvin Klein, Osklen",https://www.instagram.com/alohaboutique_sfs/,SC - Santa Catarina,Sao Francisco do Sul,Sul,47984793700,Sim,,Novo/Sem Contato
CM Fashion Store,LBM,,"Colcci, Myft, Nike, Converse",https://www.instagram.com/cmfashionstore_/,RS - Rio Grande do Sul,Erechim,Sul,54992560239,Sim,,Novo/Sem Contato
Movva Urban,LBM,,Lança perfume,https://www.instagram.com/movvaurban/,SC - Santa Catarina,Chapeco,Sul,49988186913,Sim,,Novo/Sem Contato
Mundo do Sapato,LBM,,"Lança perfume, Schutz, Morena Rosa, Calvin Klein",https://www.instagram.com/mundodosapato_gramado/,RS - Rio Grande do Sul,Gramado,Sul,54984385303,Sim,,Novo/Sem Contato
MZ Concept Store,LBM,,Lança perfume,https://www.instagram.com/mz_concept_store/,SC - Santa Catarina,Brusque,Sul,47992596129,Sim,,Novo/Sem Contato
Use Moda Masculina,LM,,"Tommy, Calvin Klein, Lacoste, Levis, Beagle, New Balance",https://www.instagram.com/usecarazinho/,RS - Rio Grande do Sul,Carazinho,Sul,54999105208,Sim,,Novo/Sem Contato
Burdz,LM,,"Tommy, Forum, King&Joe, Replay",https://www.instagram.com/burdzoficial/,GO - Goiás,Goiatuba,Centro-Oeste,64999032124,Sim,,Novo/Sem Contato
La Mare Multimarcas,LBM/LM,,"Lança perfume, Dress To, Animale, Maria Filó",https://www.instagram.com/lamareimbituba/,SC - Santa Catarina,Imbituba,Sul,48999278572,Sim,,Novo/Sem Contato
061 Brand,LBM,,"Farm, Lez a Lez, Maria Filó, Cantão, Shoulder",https://www.instagram.com/061brand/,DF - Distrito Federal,Brasilia,Centro-Oeste,61985590617,Sim,,Novo/Sem Contato
Loja Marco Antonio,LM,,"Reserva, John John, Lacoste, Adidas, Fors",https://www.instagram.com/lojamarcoantonio/,RS - Rio Grande do Sul,Gramado,Sul,54992519789,Sim,,Novo/Sem Contato
135 Store,LM,,"Reserva, Osklen, Lacoste, Diesel, Aramis, Hugo Boss",https://www.instagram.com/135store/,DF - Distrito Federal,Brasilia,Centro-Oeste,61999555744,Sim,,Novo/Sem Contato
Roots,LBM/LM,,"Acostamento, Reserva, Ogochi, John John, Animale, Aramis",https://www.instagram.com/roots2you/,SC - Santa Catarina,Sao Bento do Sul,Sul,47996095960,Sim,,Novo/Sem Contato
Dubai Club,LM,,"Tommy, Lacoste, Armani",https://www.instagram.com/dubaiclub__/,RS - Rio Grande do Sul,Porto Alegre,Sul,51997359469,Sim,,Novo/Sem Contato
Dasmin Store,LBM/LM,,"John John, Dzarm",https://www.instagram.com/dasminstore/,GO - Goiás,Itumbiara,Centro-Oeste,64992470440,Sim,,Novo/Sem Contato
Urbana Pelotas,LBM,,"Lança perfume, Myft, Morena Rosa, Schutz",https://www.instagram.com/urbanacstore/,RS - Rio Grande do Sul,Pelotas,Sul,5333059979,Sim,,Novo/Sem Contato
Maria Marta,LBM/LM,,"John John, Tommy, Reserva, Aramis, Dudalina, GataBakana",https://www.instagram.com/mariamarta.loja/,SC - Santa Catarina,Jaragua do Sul,Sul,4730550028,Sim,,Novo/Sem Contato
Urban For Men,LM,,"Tommy, Acostamento, Aero",https://www.instagram.com/urbanformen__/,GO - Goiás,Aloandia,Centro-Oeste,64992636494,Sim,,Novo/Sem Contato
Mercato Outlet Multimarcas,LBM/LM,,"Lança perfume, Farm, Maria Filó, Dress To, Cantão",https://www.instagram.com/mercato_outlet_multimarcas/,GO - Goiás,Goiania,Centro-Oeste,62983305744,Sim,,Novo/Sem Contato
Cowboy's Store,LBM/LM,,"Tommy, Levis, Totanka, Polo, New Era",https://www.instagram.com/cowboysstoree/,GO - Goiás,Itumbiara,Centro-Oeste,64992118501,Sim,,Novo/Sem Contato
Trend,LBM/LM,,"Colcci, Schutz, Reserva, Maria Filó, Santa Lolla, Forum, Arezzo",https://www.instagram.com/lojas.trend/,DF - Distrito Federal,Planaltina,Centro-Oeste,61984234465,Sim,,Novo/Sem Contato
Trend,LBM/LM,,"Colcci, Schutz, Reserva, Maria Filó, Santa Lolla, Forum, Arezzo",https://www.instagram.com/lojas.trend/,DF - Distrito Federal,Planaltina,Centro-Oeste,61984234465,Sim,,Novo/Sem Contato
Trend,LBM/LM,,"Colcci, Schutz, Reserva, Maria Filó, Santa Lolla, Forum, Arezzo",https://www.instagram.com/lojas.trend/,DF - Distrito Federal,Planaltina,Centro-Oeste,61984234465,Sim,,Novo/Sem Contato
Loja Raio X,LBM,,"Colcci, Morena Rosa, Schutz, Forum, Live, Melissa",https://www.instagram.com/lojaraiox/,RS - Rio Grande do Sul,Dom Pedrito,Sul,53999717372,Sim,,Novo/Sem Contato
Kontenna,LBM/LM,,"Farm, John John, Open, Flor de Lis, Lez a Lez",https://www.instagram.com/kontenna/,SC - Santa Catarina,Tubarao,Sul,48999836437,Sim,,Novo/Sem Contato
