nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
Gleison Modas,LBM/LM,,"Colcci, Acostamento, Santa Lolla, Arezzo",https://www.instagram.com/gleisonmodas/,PI - Piauí,Piracuruca,Nordeste,86999037205,Sim,,Novo/Sem Contato
La Bella Boutique,LBM/LM,,"Lança perfume, Myft. Acostamento, Schutz",https://www.instagram.com/boutiquelabellamt/,MT - Mato Grosso,Aripuana,Centro-Oeste,66984471541,Sim,,Novo/Sem Contato
João e Maria Multimarcas,LBM/LM,,"Farm, Diesel, Tommy, Reserva, Ellus, Aramis",https://www.instagram.com/joaoemariamultimarca/,MT - Mato Grosso,Colider,Centro-Oeste,66996215600,Sim,,Novo/Sem Contato
Dolce Café Boutique,LBM/LM,,"Colcci, Reserva, Cantão, Open, Dress To",https://www.instagram.com/dolcecafeboutique/,ES - Espírito Santo,Rio Bananal,Sudeste,27998008137,Sim,,Novo/Sem Contato
Gap Boutique,LBM/LM,,"Lança perfume, Acostamento, Tommy, Animale",https://www.instagram.com/gap_boutique/,MT - Mato Grosso,Sao Jose dos Quatro Marcos,Centro-Oeste,65996292099,Sim,,Novo/Sem Contato
Loja Arrazze,LBM,,"Farm, Santa Lolla, Sommer, Forum",https://www.instagram.com/lojaarrazze/,ES - Espírito Santo,Muqui,Sudeste,28999581957,Sim,,Novo/Sem Contato
Império Mais,LBM/LM,,"Colcci, Sommer, Ellus, Farm",https://www.instagram.com/imperiomais/,ES - Espírito Santo,Joao Neiva,Sudeste,27997494373,Sim,,Novo/Sem Contato
Destaque multimarcas,LBM,,"Lança perfume, Bana Bana",https://www.instagram.com/destaquemultimarca/,ES - Espírito Santo,Domingos Martins,Sudeste,27999325777,Sim,,Novo/Sem Contato
Cia da Marca,LBM/LM,,"Sommer, Hering, My Place, Myft",https://www.instagram.com/ciadamarcacolatina/,ES - Espírito Santo,Colatina,Sudeste,27999768275,Sim,,Novo/Sem Contato
Loja Mann,LM,,"Tommy, Reserva, Calvin Klein",https://www.instagram.com/lojamann/,ES - Espírito Santo,Colatina,Sudeste,2731204977,Sim,,Novo/Sem Contato
Bomporte,LBM,,"Colcci, Melissa, Sommer",https://www.instagram.com/bomporte/,ES - Espírito Santo,Castelo,Sudeste,2835421135,Sim,,Novo/Sem Contato
Vibe Store,LM,,"Colcci, Forum, Ellus, Urbô",https://www.instagram.com/vibestorevix/,ES - Espírito Santo,Vitoria,Sudeste,27996057734,Sim,,Novo/Sem Contato
Oakes Store,LBM/LM,,"Calvin Klein, Lacoste, John John, Reserva, Ellus",https://www.instagram.com/oakesstore/,ES - Espírito Santo,Cachoeiro de Itapemirim,Sudeste,28999964532,Sim,,Novo/Sem Contato
Happy modas,LBM/LM,,"Colcci, Farm, Arezzo, Aramis, Lacoste",https://www.instagram.com/happy_modas/,PE - Pernambuco,Afogados da Ingazeira,Nordeste,87991456713,Sim,,Novo/Sem Contato
By da Juju Store,LBM,,"Lança perfume, Myft",https://www.instagram.com/bydajuju/,SE - Sergipe,Aracaju,Nordeste,79999134848,Sim,,Novo/Sem Contato
Bianca Modas,LBM/LM,,"Colcci, Melissa, Ogochi",https://www.instagram.com/lojabiancamodas_/,SE - Sergipe,Agua Branca,Nordeste,82999367515,Sim,,Novo/Sem Contato
Boutique Maria Bonitta,LBM/LM,,"Morena Rosa, Acostamento, BanaBana, Lez a Lez",https://www.instagram.com/boutique.mariabonitta/,SP - São Paulo,Arealva,Sudeste,14981643463,Sim,,Novo/Sem Contato
Maria Valentina Store,LBM,,"Colcci, Damyller, Santa Lolla",https://www.instagram.com/mariiavalentinastore/,PB - Paraíba,Santa Luzia,Nordeste,84999980567,Sim,,Novo/Sem Contato
Anita Modas,LBM/LM,,"Colcci, Morena Rosa, Forum, Sommer, Dzarm",https://www.instagram.com/modas.anita/,SP - São Paulo,Registro,Sudeste,13997050914,Sim,,Novo/Sem Contato
Casa Mendes,LBM/LM,,"Calvin Klein, Lacoste, Coca Cola, Gatos e Atos",https://www.instagram.com/lojacasamendes/,SC - Santa Catarina,Presidente Getulio,Sul,4733521393,Sim,,Novo/Sem Contato
